state,zipcode,n1,numdep,agi,numfarm,taxamt,contrib,elderly,n2
GA,30153,7910,5950,372254000,120,27569000,4226000,1590,16400
GA,30157,21910,16090,1218896000,50,98356000,16375000,3700,45250
GA,30161,13780,9870,811000000,170,74871000,40219000,3500,27600
GA,30165,16640,13660,895754000,120,78977000,34614000,3600,35040
GA,30168,11270,9850,396759000,0,23170000,7451000,1260,22540
GA,30170,1290,880,74412000,110,6210000,1592000,320,2690
GA,30171,1550,1100,98756000,60,9044000,2101000,360,3330
GA,30173,2690,1780,133152000,60,9634000,1710000,650,5460
GA,30175,2670,1710,156009000,60,14839000,1416000,670,5430
GA,30176,2750,2050,129802000,70,9323000,1959000,600,5780
GA,30177,280,160,14553000,0,1098000,0,90,530
GA,30178,1760,1220,107212000,60,9336000,2837000,370,3680
GA,30179,7430,5670,375762000,90,27083000,6771000,1260,15770
GA,30180,16550,12240,1052903000,90,105961000,19786000,3330,33850
GA,30182,1080,790,51847000,40,3976000,413000,220,2260
GA,30183,2710,1390,205907000,40,21917000,3322000,1010,5260
GA,30184,3180,2050,235900000,20,26012000,5329000,770,6570
GA,30185,1710,1130,103237000,30,9649000,1695000,400,3480
GA,30187,4190,2830,288470000,40,29624000,6409000,1060,8640
GA,30188,30790,19250,2533396000,60,292525000,54137000,7690,61190
GA,30189,18360,11500,1487717000,30,171530000,33254000,4190,35810
GA,30204,5010,3500,234219000,120,18180000,3789000,1180,9900
GA,30205,1560,1050,178389000,50,23148000,10433000,490,3320
GA,30206,1290,980,76165000,40,6130000,1105000,270,2750
GA,30213,18460,13850,832990000,0,61916000,26328000,2820,34710
GA,30214,15230,9460,1056054000,50,112615000,53470000,4890,29280
GA,30215,16570,11970,1704035000,90,225450000,89917000,4720,34640
GA,30216,840,630,31910000,0,1887000,522000,200,1700
GA,30217,3360,2550,159429000,130,11463000,1748000,690,7050
GA,30218,880,550,45832000,30,4398000,948000,220,1710
GA,30220,2310,1710,111609000,30,9654000,1521000,430,4630
GA,30222,1740,1320,94741000,50,10027000,5871000,430,3510
GA,30223,14950,11130,657334000,90,51289000,11892000,3700,29970
GA,30224,11070,7800,620296000,80,55126000,16539000,2730,22150
GA,30228,21220,17030,986668000,40,73639000,25597000,3390,42490
GA,30230,3600,2810,160866000,50,11118000,3105000,730,7470
GA,30233,9770,6980,533074000,110,45150000,9720000,2270,20040
GA,30234,900,660,40420000,0,2814000,792000,220,1790
GA,30236,21250,16140,1040952000,30,95048000,37147000,4160,41100
GA,30238,17930,15400,607938000,0,33127000,13798000,2650,35500
GA,30240,12140,9170,745275000,120,78454000,20345000,2850,24550
GA,30241,10360,8240,461902000,100,34915000,8908000,1950,20680
GA,30248,12370,9630,727310000,50,61068000,18235000,2170,25740
GA,30251,960,620,44968000,0,3220000,579000,220,1860
GA,30252,21050,16470,1459521000,90,140295000,39058000,4180,44530
GA,30253,27740,20720,1584406000,50,155689000,57786000,4770,54170
GA,30256,1140,810,61244000,30,4815000,698000,250,2380
GA,30257,1950,1320,112748000,60,9633000,1690000,510,4020
GA,30258,1010,820,53133000,40,3852000,727000,230,2260
GA,30259,1710,1040,126482000,40,12624000,4536000,460,3340
GA,30260,11560,9180,378059000,0,21257000,5427000,1720,22520
GA,30263,25310,18130,1660749000,150,172149000,56779000,5220,50790
GA,30265,16570,11170,1334562000,40,152420000,30173000,3960,33560
GA,30268,4830,3520,296550000,50,30892000,10803000,990,9460
GA,30269,17640,12420,2125354000,40,304437000,75210000,5560,37400
GA,30273,8580,6650,320829000,0,19447000,8061000,1250,16270
GA,30274,15220,12620,455077000,0,23089000,8568000,2100,29150
GA,30276,7920,5730,622950000,70,66066000,16149000,1720,16820
GA,30277,10030,6840,856126000,60,96957000,22880000,2510,20990
GA,30281,31560,22140,1554707000,40,126048000,40029000,5980,60480
GA,30285,290,200,16389000,0,1394000,0,60,630
GA,30286,9260,6570,421349000,110,31952000,7671000,2120,18400
GA,30288,3890,3050,136176000,0,7983000,3952000,670,7370
GA,30290,4420,2900,439357000,20,55269000,18837000,1280,9000
GA,30291,10370,8870,345616000,0,18509000,7966000,1410,19980
GA,30292,2670,1950,178222000,60,16135000,5835000,650,5690
GA,30293,1130,800,50593000,30,3595000,785000,320,2230
GA,30294,20090,14870,859565000,0,61363000,28373000,3620,37600
GA,30295,1940,1430,117030000,60,10121000,2182000,440,4070
GA,30296,13120,10010,465189000,0,28267000,11613000,2460,24560
GA,30297,10720,10850,289460000,0,11873000,2987000,1340,23090
